component_name	display_name	slug	service_category	subcategory	surface	availability	official_website	evidence_url	evidence_type	source_date	catalogue_status	logo_decision	notes
-	GoTagihan – Pulsa	gotagihan-pulsa	Telco & Data	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; import named operators below, not a guessed generic logo.
-	GoTagihan – Data Package	gotagihan-data-package	Telco & Data	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; import named operators below, not a guessed generic logo.
-	GoTagihan – PLN Token	gotagihan-pln-token	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; PLN brand row is tracked separately.
-	GoTagihan – Electronic Money	gotagihan-electronic-money	E-money	Taxonomy category	GoTagihan	Android-only	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Android-only taxonomy category; named instruments are tracked separately.
-	GoTagihan – PLN	gotagihan-pln	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; use the named PLN provider row.
-	GoTagihan – PDAM	gotagihan-pdam	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	PDAM is a directory of regional operators; no single canonical PDAM logo should be guessed.
-	GoTagihan – BPJS	gotagihan-bpjs	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Named BPJS Kesehatan row is tracked separately.
-	GoTagihan – Internet & Cable TV	gotagihan-internet-cable-tv	Internet & TV	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; use named operators below.
-	GoTagihan – Phone Postpaid	gotagihan-phone-postpaid	Telco & Data	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; named postpaid operators are tracked below.
-	GoTagihan – Multifinance / Credit Installment	gotagihan-multifinance	Finance & Insurance	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; import named finance billers after current-app verification.
-	GoTagihan – E-Invoicing	gotagihan-e-invoicing	Education & Invoicing	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; named e-invoicing providers are tracked below.
