figma_path	institution	category	region	country	website	source_url	variant	variant_reason	aspect	background	file_link	status	notes
banks/indo/bank-mandiri	Bank Mandiri	bank	Indonesia		https://www.bankmandiri.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/mandiri.svg	wordmark	Curated corporate vector/lockup for compact UI	3.20:1 (horizontal, 80x25)	transparent	assets/banks/indo/bank-mandiri.svg	Needs Review	State-owned (KBMI 4). Auto-sourced via app-store. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/bri	Bank Rakyat Indonesia (BRI)	bank	Indonesia		https://www.bri.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/bri.svg	wordmark	Curated corporate vector/lockup for compact UI	1.95:1 (horizontal, 80x41)	transparent	assets/banks/indo/bri.svg	Needs Review	State-owned (KBMI 4). Verify: OJK/BI register. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/bni	Bank Negara Indonesia (BNI)	bank	Indonesia		https://www.bni.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/bni.svg	wordmark	Curated corporate vector/lockup for compact UI	3.33:1 (horizontal, 80x24)	transparent	assets/banks/indo/bni.svg	Needs Review	State-owned (KBMI 4). Verify: OJK/BI register. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/bca	Bank Central Asia (BCA)	bank	Indonesia		https://www.bca.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/bca.svg	wordmark	Curated corporate vector/lockup for compact UI	3.08:1 (horizontal, 80x26)	transparent	assets/banks/indo/bca.svg	Needs Review	Largest private bank. Verify: OJK/BI register. Auto-sourced via brand-press. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/btn	Bank Tabungan Negara (BTN)	bank	Indonesia		https://www.btn.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/btn.svg	wordmark	Curated corporate vector/lockup for compact UI	1.78:1 (horizontal, 80x45)	transparent	assets/banks/indo/btn.svg	Needs Review	State-owned. Verify: OJK/BI register. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/bsi	Bank Syariah Indonesia (BSI)	bank	Indonesia		https://www.bankbsi.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/bsi.svg	wordmark	Curated corporate vector/lockup for compact UI	1.63:1 (horizontal, 80x49)	transparent	assets/banks/indo/bsi.svg	Needs Review	Formed 2021 from BRIsyariah/BNI Syariah/Mandiri Syariah merger. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/cimb-niaga	CIMB Niaga	bank	Indonesia		https://www.cimbniaga.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/cimb-niaga.svg	icon	Curated corporate vector/lockup for compact UI	1.03:1 (square, 62x60)	transparent	assets/banks/indo/cimb-niaga.svg	Needs Review	Verify: OJK/BI register. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/danamon	Bank Danamon	bank	Indonesia		https://www.danamon.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/danamon.svg	wordmark	Curated corporate vector/lockup for compact UI	3.81:1 (horizontal, 80x21)	transparent	assets/banks/indo/danamon.svg	Needs Review	MUFG-controlled. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/permata	PermataBank	bank	Indonesia		https://www.permatabank.com	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/permata.svg	wordmark	Curated corporate vector/lockup for compact UI	4.00:1 (horizontal, 80x20)	transparent	assets/banks/indo/permata.svg	Needs Review	Owned by Bangkok Bank. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/panin	Bank Panin	bank	Indonesia		https://www.panin.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/paninbank.svg	wordmark	Curated corporate vector/lockup for compact UI	1.82:1 (horizontal, 80x44)	transparent	assets/banks/indo/panin.svg	Needs Review	Verify: OJK/BI register. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/ocbc-indonesia	OCBC Indonesia	bank	Indonesia		https://www.ocbc.id	https://raw.githubusercontent.com/auraveni/global-bank-logos/main/assets/bank/international-bank/ocbc.svg	icon	Curated corporate vector/lockup for compact UI	1:1.06 (vertical, 1549x1635)	transparent	assets/banks/indo/ocbc-indonesia.svg	Needs Review	Rebranded from OCBC NISP (2023) - do not use pre-rebrand asset. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with global-bank-logos artwork (MIT (collection; underlying trademarks remain with their owners)). Current OCBC mark; do not use the pre-2023 OCBC NISP asset.
banks/indo/maybank-indonesia	Maybank Indonesia	bank	Indonesia		https://www.maybank.co.id	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/maybank.svg	wordmark	Curated corporate vector/lockup for compact UI	1.40:1 (horizontal, 80x57)	transparent	assets/banks/indo/maybank-indonesia.svg	Needs Review	Candidate row; regulator check and asset sourcing outstanding. Auto-sourced via brand-press. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/smbc-indonesia	Bank SMBC Indonesia	bank	Indonesia			https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/bank-smbc-indonesia.svg	wordmark	Curated corporate vector/lockup for compact UI	2.22:1 (horizontal, 80x36)	transparent	assets/banks/indo/smbc-indonesia.svg	Needs Review	Renamed from Bank BTPN effective 2 Oct 2024 - do NOT use BTPN asset. Official domain changed post-rebrand; confirm before sourcing. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
banks/indo/mega	Bank Mega	bank	Indonesia		https://www.bankmega.com	https://cdn.jsdelivr.net/npm/idn-finlogos@2.5.0/dist/icons/mega.svg	wordmark	Curated corporate vector/lockup for compact UI	1.70:1 (horizontal, 80x47)	transparent	assets/banks/indo/mega.svg	Needs Review	CT Corp group. Auto-sourced via brand-site. Asset audit 2026-08: replaced automated candidate with idn-finlogos artwork (CC BY-NC 4.0 (collection; underlying trademarks remain with their owners)).
